,label,code,entity
365,6360 Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista,1527060,KKNR
366,6370 Arvonalentumiset pysyvien vastaavien sijoituksista (pl. toimialasijoittamisen osakkeet ja -osuudet),1541172,KKNR
367,6379 Korkojohdannaisiin liittyvät kulut (ei-suojaava),1555284,KKNR
368,6380 Muut erittelemättömät rahoituskulut,1569396,KKNR
369,7000-7299 Poistot ja arvonalentumiset,3206388,KKNR
370,7100-7199 Suunnitelman mukaiset poistot,3220500,KKNR
371,"7170 Suunnitelman mukaiset poistot, erittelemättömät",1583508,KKNR
372,7180 Kertaluonteiset poistot,1597620,KKNR
373,"7190 Pysyvien vastaavien hyödykkeiden luovutusvoitot ja -tappiot (epäolennaiset, ellei muissa tuotoissa/kuluissa)",1611732,KKNR
374,7230-7299 Arvonalentumiset,3545076,KKNR
375,7230 Pysyvien vastaavien hyödykkeiden arvonalentumiset,1625844,KKNR
376,7240 Muut arvonalentumiset,1639956,KKNR
377,8000-8199 Satunnaiset erät + (-),3262836,KKNR
378,8000-8099 Satunnaiset tuotot,3248724,KKNR
379,"8000 Satunnaiset tuotot, pysyvien vastaavien hyödykkeiden luovutusvoitot",1654068,KKNR
380,"8010 Satunnaiset tuotot, omistusosuuksien luovutukset",1668180,KKNR
381,"8020 Satunnaiset tuotot, vahingonkorvaukset ja sopimussakot",1682292,KKNR
382,8050 Muut satunnaiset tuotot,1696404,KKNR
383,8100-8199 Satunnaiset kulut,3234612,KKNR
384,"8100 Satunnaiset kulut, pysyvien vastaavien hyödykkeiden luovutustappiot",1710516,KKNR
385,"8110 Satunnaiset kulut, omistusosuuksien luovutukset",1724628,KKNR
386,"8120 Satunnaiset kulut, vahingonkorvaukset ja sopimussakot",1738740,KKNR
387,8130 Annetut akordit ja konserniavustukset,1752852,KKNR
388,8150 Muut satunnaiset kulut,1766964,KKNR
389,8500-8599 Poistoeron lisäys (vähennys),3305172,KKNR
390,8500 Poistoeron lisäys,1781076,KKNR
391,8550 Poistoeron vähennys,1795188,KKNR
392,8600-8699 Varausten lisäys (vähennys),1809300,KKNR
393,8600 Varausten lisäys,1823412,KKNR
394,8650 Varausten vähennys,1837524,KKNR
395,8700-8759 Rahastojen lisäys (vähennys),1851636,KKNR
396,8700 Rahastojen lisäys,1865748,KKNR
397,8750 Rahastojen vähennys,1879860,KKNR
398,8800-8800 Tilikauden ylijäämä (alijäämä),3573300,KKNR
399,"8800 Tilikauden ylijäämä (alijäämä), tili",3164052,KKNR
400,Luontoisetujen raha-arvot,525108,KKNR
401,Palautusjärjestelmän arvonlisävero käyttötaloudesta,412212,KKNR
402,Toimintatuotot,3319283,KKNR
403,3000-3199 Myyntituotot,3333395,KKNR
404,"3005 Myyntituotot, tili",3051155,KKNR
405,3200-3299 Maksutuotot,3361619,KKNR
406,"3295 Maksutuotot, tili",3065267,KKNR
407,3300-3399 Tuet ja avustukset,3375731,KKNR
408,3300 Tuet ja avustukset (muilta),2232659,KKNR
409,3350 Tuet ja avustukset muilta kunnilta,2938259,KKNR
410,3390 Palkkatuki,1893971,KKNR
411,3400-3559 Muut toimintatuotot,3389843,KKNR
412,3400-3499 Vuokratuotot,146820,KKNR
413,"3499 Vuokratuotot, muut",2204435,KKNR
414,3440 Maa- ja vesialueiden vuokratuotot,2218547,KKNR
415,3500-3559 Muut tuotot,793235,KKNR
416,3510 Pysyvien vastaavien hyödykkeiden luovutusvoitot,779123,KKNR
417,3521 Vakuutusyhtiöiden vahinkovakuutuskorvaukset,1922195,KKNR
418,"3530 Muut tuotot, erittelemättömät",807347,KKNR
419,3536 Sakot ja uhkasakot,1216595,KKNR
420,3700-3799 Valmistus omaan käyttöön,1599,KKNR
421,"3710 Valmistus omaan käyttöön, tili",3079379,KKNR
422,Toimintakulut,3418067,KKNR
423,4000-4299 Henkilöstökulut,1562,KKNR
424,4000-4099 Palkat ja palkkiot,1573,KKNR
425,4000 Maksetut palkat ja palkkiot,2246771,KKNR
426,4060 Jaksotetut palkat ja palkkiot,2260883,KKNR
427,4065 Aktivoidut palkat ja palkkiot,2274995,KKNR
428,4090 Henkilöstökorvaukset,2289107,KKNR
429,4100-4229 Henkilösivukulut,1421,KKNR
430,4100-4149 Eläkekulut,1430,KKNR
431,4110 Eläkevakuutusmaksut,2303219,KKNR
432,4120 Maksetut eläkkeet,2317331,KKNR
433,4130 Jaksotetut eläkekulut,2331443,KKNR
434,4135 Aktivoidut eläkemenot,2345555,KKNR
435,4150-4229 Muut henkilösivukulut,1401,KKNR
436,"4210 Muut henkilösivukulut, erittelemättömät",2373779,KKNR
437,4190 Jaksotetut  sosiaalivakuutusmaksut,2387891,KKNR
438,4200 Aktivoidut sosiaalivakuutusmaksut,2402003,KKNR
439,4300-4499 Palvelujen ostot,699,KKNR
440,4300-4339 Asiakaspalvelujen ostot,2416115,KKNR
441,"4300 Asiakaspalvelujen ostot, erittelemättömät",2430227,KKNR
442,4315 Palveluseteli,2444339,KKNR
443,4340-4499 Muiden palvelujen ostot,2458451,KKNR
444,4340 Asiantuntijapalvelut,2740691,KKNR
445,4341 Toimistopalvelut,2754803,KKNR
446,4342 ICT-palvelut,2472563,KKNR
447,4344 Rahoitus- ja pankkipalvelut,2486675,KKNR
448,4346 Työvoiman vuokraus,2500787,KKNR
449,"4350 Painatukset, ilmoitukset ja markkinointi",2514899,KKNR
450,4360 Posti- ja kuriiripalvelut,2529011,KKNR
451,4370 Vakuutukset,2867699,KKNR
452,4380 Puhtaanapito- ja pesulapalvelut,2543123,KKNR
453,4390 Rakennusten ja alueiden rakentamis- ja kunnossapitopalvelut,2557235,KKNR
454,"4400 Koneiden, kaluston ja laitteiden rakentamis- ja kunnossapitopalvelut",2571347,KKNR
455,4410 Majoitus- ja ravitsemispalvelut,2585459,KKNR
